country;RequestCount
United States;36900837
Germany;12374272
Russian Federation;12178162
Ukraine;5008232
Indonesia;4838683
China;4592526
Mexico;4586683
Japan;2898635
United Kingdom;2850580
Hong Kong;2445079
Netherlands;1877070
Korea (South);1679556
Turkey;1649566
Dominican Republic;1570501
Singapore;1536968
Canada;1442634
Thailand;1342339
Argentina;1232998
Albania;1231992
Ecuador;1218255
Bulgaria;1084584
Poland;912421
Spain;871405
India;829868
Peru;806536
Taiwan;725051
Kazakhstan;695906
Unknown;665275
South Africa;627047
Italy;617945
Venezuela;574770
Australia;554699
Brazil;527260
Latvia;516722
Belarus;477160
Guatemala;463774
0;442477
Kyrgyzstan;433955
Colombia;431098
Iraq;412134
France;390746
Finland;387501
Viet Nam;365795
Moldova;312093
Philippines;265507
Lithuania;264767
Malta;263370
Honduras;259766
Paraguay;254582
Puerto Rico;233316
Bolivia;216374
Romania;215196
Estonia;191819
Czech Republic;191801
Armenia;179743
Luxembourg;177057
Chile;170137
Libya;169297
Georgia;169239
Austria;162184
Greece;156368
Malaysia;143831
Denmark;136235
Nigeria;126900
Norway;126314
Croatia;118128
Hungary;117985
Myanmar;115009
Bangladesh;106728
Iran;105658
Occupied Palestinian Territory;103003
Tunisia;102653
Sweden;99642
Nicaragua;78745
Kenya;73999
Belgium;71638
Slovak Republic;63058
Mongolia;63044
Mauritius;57546
Cyprus;53328
Cambodia;53169
Ghana;52012
Switzerland;47440
El Salvador;44358
Egypt;38429
United Arab Emirates;38164
Nepal;36333
Laos;35962
Pakistan;31127
Uruguay;31019
Bosnia And Herzegovina;28670
Panama;27035
Seychelles;21097
Iceland;19443
Serbia;17389
Saudi Arabia;15778
Maldives;15546
Cameroon;15393
Rwanda;14713
Angola;13475
Costa Rica;13338
Uzbekistan;12886
Uganda;12643
South Sudan;12409
Democratic Republic Of The Congo;11845
Other Country;11614
Syria;11066
Burundi;10836
Zimbabwe;10442
Portugal;9476
Mozambique;9361
Tanzania;7799
Afghanistan;7517
Israel;4650
Ireland;4070
New Zealand;3903
Jersey;1573
Slovenia;1351
Slovakia;428
Mayotte;51
Isle of Man;49
Liechtenstein;35
Bahamas;24
Qatar;19
Macau;15
Isle Of Man;11
Sri Lanka;10
Azerbaijan;9
Monaco;5
Saint Kitts And Nevis;4
Morocco;4
;123739752
